word,pos_tag
The,DT
footstep,NN
was,VBD
that,IN
of,IN
a,DT
teacher,NN
.,.
His,PRP$
voice,NN
is,VBZ
louder,JJR
than,IN
that,DT
of,IN
mine,NN
.,.
My,PRP$
room,NN
is,VBZ
bigger,JJR
than,IN
that,DT
of,IN
John,NNP
's,POS
.,.
His,PRP$
house,NN
is,VBZ
connected,VBN
to,TO
that,DT
of,IN
Linda,NNP
's,POS
.,.
The,DT
voice,NN
was,VBD
that,IN
of,IN
a,DT
singer,NN
.,.
The,DT
smell,NN
was,VBD
that,IN
of,IN
mother,NN
's,POS
pie,NN
.,.
His,PRP$
house,NN
is,VBZ
larger,JJR
than,IN
that,DT
of,IN
mine,NN
.,.
Her,PRP$
foot,NN
is,VBZ
smaller,JJR
than,IN
that,DT
of,IN
his,PRP$
.,.
His,PRP$
is,VBZ
different,JJ
than,IN
that,DT
of,IN
Miranda,NNP
's,POS
.,.
Liam,NNP
's,POS
pie,NN
is,VBZ
better,RBR
than,IN
that,DT
of,IN
Kyle,NNP
's,POS
.,.
The,DT
population,NN
of,IN
China,NNP
is,VBZ
bigger,JJR
than,IN
that,DT
of,IN
Japan,NNP
.,.
The,DT
climate,NN
here,RB
is,VBZ
very,RB
different,JJ
from,IN
that,DT
of,IN
Sweden,NNP
.,.
Ryan,NNP
's,POS
final,JJ
score,NN
exceeds,NNS
that,IN
of,IN
Robert,NNP
's,POS
by,IN
100,CD
points,NNS
.,.
The,DT
work,NN
done,VBN
here,RB
was,VBD
that,IN
of,IN
Japanese,JJ
craftsmen,NNS
.,.
The,DT
style,NN
of,IN
painting,NN
is,VBZ
similar,JJ
to,TO
that,DT
of,IN
Picasso,NNP
.,.
His,PRP$
political,JJ
view,NN
is,VBZ
very,RB
different,JJ
from,IN
that,DT
of,IN
his,PRP$
parents,NNS
.,.
The,DT
way,NN
he,PRP
speaks,VBZ
is,VBZ
similar,JJ
to,TO
that,DT
of,IN
his,PRP$
sister,NN
.,.
His,PRP$
determination,NN
was,VBD
similar,JJ
to,TO
that,DT
of,IN
a,DT
world,NN
leader,NN
.,.
Amanda,NNP
's,POS
costume,NN
was,VBD
almost,RB
identical,JJ
to,TO
that,DT
of,IN
Tasha,NNP
's,POS
.,.
His,PRP$
laugh,NN
was,VBD
identical,JJ
to,TO
that,DT
of,IN
his,PRP$
twin,NN
brother,NN
's,POS
.,.
The,DT
conservative,JJ
nature,NN
of,IN
the,DT
people,NNS
of,IN
Japan,NNP
is,VBZ
similar,JJ
to,TO
that,DT
of,IN
a,DT
lot,NN
of,IN
other,JJ
Asian,JJ
countries,NNS
.,.
The,DT
food,NN
cooked,VBN
by,IN
Aunt,NNP
Suzy,NNP
was,VBD
extremely,RB
delicious,JJ
and,CC
was,VBD
similar,JJ
to,TO
that,DT
of,IN
a,DT
five,CD
star,NN
chef,NN
.,.
The,DT
way,NN
John,NNP
played,VBD
soccer,NN
was,VBD
very,RB
skillful,JJ
",",","
and,CC
his,PRP$
style,NN
was,VBD
very,RB
similar,JJ
to,TO
that,DT
of,IN
Messi,NNP
.,.
He,PRP
was,VBD
so,RB
good,JJ
at,IN
playing,VBG
the,DT
piano,NN
",",","
listening,VBG
to,TO
him,PRP
was,VBD
the,DT
equivalent,NN
to,TO
that,DT
of,IN
a,DT
professional,JJ
pianist,NN
.,.
Japanese,JJ
people,NNS
",",","
like,IN
that,DT
of,IN
American,JJ
people,NNS
",",","
are,VBP
very,RB
gourmet,JJ
and,CC
enjoy,JJ
exploring,VBG
food,NN
from,IN
different,JJ
parts,NNS
of,IN
the,DT
world,NN
.,.
Everyone,CD
knew,VBD
that,IN
the,DT
loud,JJ
sound,NN
coming,VBG
from,IN
next,JJ
door,NN
was,VBD
that,IN
of,IN
Tom,NNP
's,POS
guitar,NN
.,.
Although,IN
her,PRP$
parents,NNS
could,MD
not,RB
run,VB
",",","
Anna,NNP
was,VBD
so,RB
good,JJ
at,IN
running,VBG
that,IN
it,PRP
was,VBD
similar,JJ
to,TO
that,DT
of,IN
a,DT
professional,JJ
track,NN
star,NN
.,.
Although,IN
Ian,NNP
is,VBZ
only,RB
10,CD
years,NNS
old,JJ
",",","
his,PRP$
artwork,NN
is,VBZ
so,RB
refined,JJ
and,CC
unique,JJ
that,IN
it,PRP
is,VBZ
almost,RB
better,JJR
than,IN
that,DT
of,IN
professional,JJ
artists,NNS
.,.
His,PRP$
style,NN
of,IN
dancing,NN
is,VBZ
very,RB
interesting,JJ
because,IN
it,PRP
is,VBZ
similar,JJ
to,TO
that,DT
of,IN
a,DT
ballerina,NN
",",","
but,CC
has,VBZ
the,DT
vigor,NN
and,CC
energy,NN
of,IN
hip,NN
hop,NN
.,.
At,IN
first,JJ
his,PRP$
opinion,NN
was,VBD
always,RB
similar,JJ
to,TO
that,DT
of,IN
his,PRP$
siblings,NNS
",",","
but,CC
as,IN
he,PRP
grew,VBD
older,JJR
",",","
he,PRP
soon,RB
started,VBD
developing,VBG
his,PRP$
own,JJ
",",","
different,JJ
opinions,NNS
.,.
He,PRP
bought,VBD
one,CD
.,.
Sam,NNP
got,VBD
one,CD
.,.
Linda,NNP
built,VBD
one,CD
very,RB
quickly,RB
.,.
She,PRP
wanted,VBD
to,TO
eat,VB
one,CD
later,NN
.,.
She,PRP
took,VBD
one,CD
and,CC
left,VBD
.,.
He,PRP
finally,RB
got,VBD
one,CD
from,IN
his,PRP$
mother,NN
.,.
He,PRP
got,VBD
one,CD
and,CC
started,VBD
eating,VBG
it,PRP
.,.
I,PRP
do,VBP
n't,RB
have,VB
one,CD
.,.
He,PRP
has,VBZ
one,CD
too,RB
.,.
She,PRP
finally,RB
found,VBD
one,CD
.,.
He,PRP
needed,VBD
one,CD
in,IN
order,NN
to,TO
be,VB
friends,NNS
with,IN
Tom,NNP
.,.
There,EX
was,VBD
one,CD
on,IN
the,DT
next,JJ
street,NN
.,.
One,CD
gave,VBD
her,PRP$
flowers,NNS
and,CC
one,CD
gave,VBD
her,PRP$
chocolate,NN
.,.
Many,JJ
dogs,NNS
were,VBD
asleep,JJ
but,CC
I,PRP
found,VBD
one,CD
that,WDT
was,VBD
awake,RB
.,.
He,PRP
took,VBD
one,CD
from,IN
the,DT
shelf,NN
and,CC
left,VBD
the,DT
kitchen,NN
.,.
Can,MD
I,PRP
have,VBP
one,CD
for,IN
the,DT
next,JJ
class,NN
?,.
I,PRP
'll,MD
just,RB
take,VB
one,CD
and,CC
leave,VB
the,DT
rest,NN
for,IN
you,PRP
.,.
She,PRP
found,VBD
one,CD
in,IN
her,PRP$
pocket,NN
but,CC
decided,VBD
to,TO
keep,VB
it,PRP
a,DT
secret,JJ
.,.
They,PRP
were,VBD
all,DT
cheap,JJ
",",","
except,IN
for,IN
one,CD
which,WDT
was,VBD
quite,RB
expensive,JJ
.,.
Although,IN
I,PRP
saved,VBD
a,DT
lot,NN
of,IN
money,NN
",",","
I,PRP
could,MD
n't,RB
buy,VB
one,CD
.,.
All,PDT
the,DT
students,NNS
were,VBD
all,DT
there,EX
except,IN
for,IN
one,CD
",",","
so,IN
the,DT
teacher,NN
started,VBD
panicking,VBG
.,.
There,EX
are,VBP
many,JJ
local,JJ
restaurants,NNS
in,IN
NYC,NNP
that,IN
celebrities,NNS
often,RB
visit,VBP
",",","
and,CC
among,IN
them,PRP
I,PRP
have,VBP
been,VBN
to,TO
one,CD
in,IN
Brooklyn,NNP
.,.
Even,RB
if,IN
we,PRP
were,VBD
to,TO
combine,VB
all,DT
of,IN
our,PRP$
salaries,NNS
together,RB
",",","
we,PRP
could,MD
never,RB
afford,VB
one,CD
.,.
Not,RB
all,DT
people,NNS
have,VBP
one,CD
but,CC
I,PRP
'm,VBP
pretty,JJ
sure,JJ
if,IN
you,PRP
are,VBP
an,DT
American,JJ
",",","
it,PRP
is,VBZ
likely,JJ
that,IN
you,PRP
will,MD
have,VB
a,DT
driver,NN
's,POS
license,NN
due,JJ
to,TO
poor,JJ
public,JJ
transportation,NN
in,IN
the,DT
States,NNPS
.,.
Most,JJS
companies,NNS
at,IN
the,DT
conference,NN
were,VBD
from,IN
China,NNP
or,CC
Korea,NNP
",",","
but,CC
there,RB
was,VBD
one,CD
from,IN
Japan,NNP
.,.
If,IN
you,PRP
need,VBP
a,DT
taxi,NN
",",","
you,PRP
might,MD
find,VB
one,CD
down,IN
the,DT
street,NN
",",","
but,CC
I,PRP
would,MD
recommend,VB
walking,VBG
to,TO
the,DT
next,JJ
street,NN
.,.
He,PRP
loves,VBZ
action,NN
movies,NNS
and,CC
there,EX
is,VBZ
one,CD
coming,VBG
out,RB
soon,RB
that,IN
I,PRP
know,VBP
he,PRP
will,MD
love,VB
for,IN
sure,JJ
.,.
Although,IN
Jake,NNP
finally,RB
caught,VBD
one,CD
he,PRP
let,VB
it,PRP
go,VB
because,IN
he,PRP
felt,VBD
bad,JJ
.,.
Finish,JJ
eating,VBG
the,DT
one,CD
on,IN
the,DT
table,NN
now,RB
and,CC
if,IN
you,PRP
still,RB
want,VBP
more,JJR
I,PRP
'll,MD
get,VB
you,PRP
some,DT
.,.
The,DT
restaurant,NN
next,IN
to,TO
our,PRP$
school,NN
is,VBZ
a,DT
popular,JJ
one,CD
",",","
and,CC
it,PRP
is,VBZ
always,RB
busy,JJ
with,IN
many,JJ
students,NNS
.,.
Each,DT
person,NN
had,VBD
a,DT
desk,NN
.,.
Each,DT
child,NN
had,VBD
a,DT
piece,NN
of,IN
cake,NN
.,.
Each,DT
story,NN
is,VBZ
different,JJ
from,IN
the,DT
others,NNS
.,.
Each,DT
room,NN
has,VBZ
an,DT
air,NN
conditioner,NN
.,.
Each,DT
player,NN
on,IN
the,DT
team,NN
had,VBD
different,JJ
skills,NNS
.,.
Each,DT
lesson,NN
will,MD
cost,VB
you,PRP
$,$
50,CD
.,.
The,DT
children,NNS
were,VBD
each,DT
given,VBN
one,CD
apple,NN
.,.
Each,DT
team,NN
had,VBD
a,DT
chance,NN
to,TO
play,VB
.,.
Each,DT
student,NN
wore,VBD
their,PRP$
uniform,JJ
properly,RB
.,.
Each,DT
sport,NN
has,VBZ
its,PRP$
pros,NNS
and,CC
cons,NNS
.,.
Each,DT
student,NN
must,MD
talk,VB
for,IN
at,IN
least,JJS
five,CD
minutes,NNS
.,.
Please,NNP
give,VB
the,DT
same,JJ
amount,NN
to,TO
each,DT
child,NN
.,.
Each,DT
person,NN
must,MD
decide,VB
who,WP
to,TO
support,VB
in,IN
the,DT
election,NN
.,.
Each,DT
college,NN
sent,VBD
someone,NN
to,TO
represent,VB
their,PRP$
school,NN
.,.
There,EX
was,VBD
a,DT
parking,JJ
space,NN
for,IN
each,DT
family,NN
member,NN
.,.
Each,DT
bedroom,NN
in,IN
the,DT
house,NN
has,VBZ
its,PRP$
own,JJ
private,JJ
bathroom,NN
.,.
Each,DT
of,IN
these,DT
countries,NNS
has,VBZ
applied,VBN
to,TO
host,VB
the,DT
Olympics,NNPS
.,.
Each,DT
girl,NN
was,VBD
given,VBN
a,DT
beautiful,JJ
sapphire,NN
necklace,NN
as,IN
a,DT
gift,NN
.,.
In,IN
our,PRP$
neighborhood,NN
",",","
each,DT
house,NN
has,VBZ
a,DT
large,JJ
",",","
beautiful,JJ
garden,NN
.,.
I,PRP
bought,VBD
a,DT
souvenir,NN
from,IN
each,DT
country,NN
that,IN
I,PRP
visited,VBD
this,DT
summer,NN
.,.
My,PRP$
mother,NN
told,VBD
me,PRP
to,TO
think,VB
positively,RB
and,CC
think,VB
of,IN
each,DT
day,NN
as,IN
a,DT
new,JJ
day,NN
full,JJ
of,IN
opportunities,NNS
.,.
Each,DT
team,NN
is,VBZ
required,VBN
to,TO
play,VB
five,CD
games,NNS
in,IN
order,NN
to,TO
determine,VB
whether,IN
they,PRP
can,MD
go,VB
to,TO
the,DT
finals,NNS
or,CC
not,RB
.,.
Each,DT
student,NN
is,VBZ
required,VBN
to,TO
take,VB
general,JJ
classes,NNS
in,IN
addition,NN
to,TO
required,VBN
classes,NNS
according,VBG
to,TO
their,PRP$
major,JJ
.,.
Each,DT
box,NN
contained,VBD
something,NN
very,RB
important,JJ
to,TO
child,VB
.,.
In,IN
college,NN
",",","
different,JJ
schedules,NNS
are,VBP
given,VBN
to,TO
students,NNS
in,IN
each,DT
department,NN
.,.
The,DT
master,NN
ordered,VBD
the,DT
servants,NNS
to,TO
save,VB
each,DT
letter,NN
he,PRP
received,VBD
very,RB
carefully,RB
.,.
His,PRP$
wealth,NN
was,VBD
reflected,VBN
by,IN
the,DT
beautiful,JJ
furniture,NN
in,IN
each,DT
room,NN
",",","
which,WDT
was,VBD
from,IN
different,JJ
parts,NNS
of,IN
the,DT
world,NN
.,.
Each,DT
ingredient,NN
in,IN
the,DT
vegetarian,JJ
dish,NN
is,VBZ
organic,JJ
and,CC
comes,VBZ
from,IN
a,DT
different,JJ
store,NN
.,.
Each,DT
medal,NN
and,CC
award,NN
reflects,VBZ
Jamie,NNP
's,POS
skill,NN
and,CC
dedication,NN
in,IN
dancing,VBG
.,.
Every,DT
student,NN
finished,VBD
the,DT
homework,NN
.,.
Every,DT
parent,NN
loves,VBZ
their,PRP$
child,NN
.,.
The,DT
train,NN
stopped,VBD
at,IN
every,DT
station,NN
.,.
Every,DT
student,NN
was,VBD
afraid,JJ
of,IN
Mr.,NNP
Smith,NNP
.,.
Every,NNP
child,NN
sat,VBD
still,RB
.,.
She,PRP
took,VBD
home,NN
every,DT
present,JJ
she,PRP
got,VBD
.,.
